area_type,availability,location,size,society,dist_mainroad,street_type,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,134,No Access,1060,2.0,2.0,55.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,48,No Access,1270,2.0,2.0,93.0
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,,142,Paved,900,2.0,2.0,22.5
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,,168,No Access,1280,2.0,1.0,69.0
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,,159,Paved,1200,2.0,0.0,95.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,77,No Access,1025,2.0,2.0,36.0
Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,148,Paved,1108,2.0,1.0,63.0
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,,141,Paved,1200,5.0,,170.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,90,Gravel,3045,3.0,2.0,170.0
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,142,No Access,2900,3.0,2.0,300.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,93,Paved,1500,3.0,2.0,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,175,Gravel,1295,2.0,2.0,43.9
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,105,No Access,1162,2.0,1.0,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,69,Gravel,1035,2.0,2.0,49.2
Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,121,No Access,1600,4.0,0.0,52.8
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,4,Gravel,1464,3.0,2.0,46.0
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,81,No Access,1866,2.0,2.0,61.58
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,95,No Access,700,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1,Gravel,1804,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,123,Paved,913,2.0,1.0,32.0
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,200,Paved,1868,3.0,2.0,131.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,49,Gravel,883,2.0,1.0,45.0
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,,100,No Access,900,2.0,1.0,110.0
Super built-up  Area,Ready To Move,Kogilu,3 BHK,,145,No Access,1664,2.0,3.0,73.95
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,31,Paved,2026,3.0,2.0,132.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,85,No Access,1210,2.0,1.0,80.9
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,25,No Access,4111,4.0,2.0,250.0
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,18,Paved,1762,3.0,3.0,91.45
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,71,Gravel,1252,3.0,3.0,55.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,116,No Access,861,2.0,1.0,34.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,70,Gravel,1420,2.0,1.0,100.0
Plot  Area,Ready To Move,Srirampura,6 Bedroom,,171,Paved,1450,6.0,0.0,250.0
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,2,Paved,1490,3.0,1.0,78.8
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,,156,Gravel,1075,2.0,1.0,46.0
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,103,No Access,1425,2.0,2.0,94.0
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,105,Paved,1200,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,120,Gravel,1280,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,106,Gravel,1084,2.0,2.0,50.0
Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,184,Gravel,1015,2.0,2.0,25.88
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,170,No Access,1017,2.0,1.0,51.25
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,167,Paved,1027,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,190,Paved,1069,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,110,Paved,1349,2.0,1.0,98.2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1,Gravel,1005,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,7,Gravel,1417,2.0,3.0,75.0
Plot  Area,18-Jan,TC Palaya,3 Bedroom,,152,No Access,1475,3.0,1.0,98.0
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,126,No Access,950,2.0,2.0,47.0
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,105,No Access,2000,4.0,0.0,120.0
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,123,Gravel,880,3.0,1.0,140.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,23,Gravel,1863,3.0,2.0,104.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,24,Gravel,1010,2.0,1.0,29.5
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,27,No Access,1425,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,198,No Access,1450,3.0,0.0,100.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,82,Paved,1847,3.0,2.0,105.0
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,183,No Access,1100,2.0,3.0,45.0
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,31,No Access,525,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,158,Gravel,1665,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,2,Gravel,1664,4.0,3.0,65.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,187,No Access,1850,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,12,No Access,1438,2.0,3.0,100.0
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,63,Paved,1560,3.0,3.0,115.0
Super built-up  Area,18-Apr,Yelahanka,2 BHK,,13,Paved,1350,2.0,1.0,55.55
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,45,No Access,1550,3.0,3.0,67.0
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,,111,No Access,1140,2.0,2.0,46.5
Plot  Area,Ready To Move,Srirampura,5 Bedroom,,124,Gravel,1200,5.0,2.0,180.0
Super built-up  Area,18-Dec,Kodathi,2 BHK,,29,Paved,850,2.0,2.0,27.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,38,Gravel,1280,2.0,2.0,75.0
Built-up  Area,Ready To Move,Munnekollal,2 BHK,,15,Paved,1170,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,78,Gravel,1113,2.0,1.0,51.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,16,No Access,1385,2.0,1.0,83.09
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,141,Paved,1128,2.0,1.0,65.0
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,66,No Access,1200,2.0,2.0,128.0
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,,188,Gravel,1200,4.0,3.0,165.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,161,Gravel,2390,3.0,2.0,415.0
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,,84,Paved,2400,4.0,1.0,400.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,30,Paved,1464,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,9,Gravel,1200,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,118,No Access,1200,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,188,No Access,1150,2.0,1.0,55.0
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,180,Paved,1645,3.0,2.0,95.0
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,,106,Paved,1000,2.0,1.0,67.0
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,,11,Paved,2650,4.0,2.0,198.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,159,No Access,1192,2.0,2.0,74.0
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,12,Gravel,2135,3.0,2.0,215.0
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,148,Gravel,1173,2.0,1.0,58.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,33,Paved,1020,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,137,No Access,3122,6.0,2.0,230.0
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,61,Gravel,1600,3.0,3.0,64.0
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,,106,Paved,1200,2.0,0.0,79.0
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,,100,Paved,1230,2.0,3.0,48.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,8,Gravel,1250,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,156,Paved,1325,2.0,2.0,76.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,191,Gravel,1850,3.0,1.0,150.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,160,Gravel,525,,,21.53
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,,187,Paved,1200,2.0,2.0,65.0
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,,95,No Access,1350,2.0,0.0,140.0
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,124,Paved,1260,3.0,1.0,49.36
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,178,Paved,1800,3.0,0.0,150.0
Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,PrhyaK ,64,No Access,11,3.0,2.0,74.0
Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,15,No Access,1100,2.0,1.0,43.25
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,148,Paved,1508,2.0,1.0,77.0
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1,Gravel,1592,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,149,Gravel,1388,2.0,3.0,57.0
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,193,Gravel,630,1.0,1.0,28.35
Plot  Area,Ready To Move,RMV,3 Bedroom,,54,Gravel,2000,3.0,2.0,365.0
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,,60,Gravel,1762,3.0,1.0,125.0
Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,,171,No Access,950,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,140,Gravel,3252,5.0,3.0,335.0
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,26,Paved,1116,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,61,Gravel,1308,2.0,2.0,89.04
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,,47,Paved,1200,3.0,0.0,90.0
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,,153,Gravel,1500,4.0,2.0,230.0
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,,4,Paved,500,1.0,1.0,18.5
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,161,No Access,1075,2.0,1.0,52.0
Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,190,No Access,530,1.0,0.0,11.66
Built-up  Area,Ready To Move,Bellandur,2 BHK,,131,Paved,1205,2.0,3.0,66.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,159,Paved,1075,2.0,2.0,60.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,183,Gravel,930,2.0,2.0,39.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,17,No Access,1380,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,16,Paved,2483,5.0,2.0,212.0
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,38,Paved,1166,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,27,No Access,1050,2.0,1.0,65.0
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,108,Gravel,2023.71,3.0,2.0,275.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,98,No Access,1200,2.0,2.0,46.8
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,109,No Access,1600,2.0,1.0,108.0
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,MaionPa,190,No Access,1935,3.0,2.0,110.0
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,70,Gravel,451,1.0,0.0,29.9
Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,34,Gravel,1800,3.0,2.0,95.0
Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,146,No Access,1400,3.0,0.0,77.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,128,Gravel,1801,3.0,2.0,115.0
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,142,No Access,1451,2.0,,90.0
Plot  Area,19-Jan,Anekal,2 Bedroom,,65,No Access,1200,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,129,No Access,1160,2.0,2.0,44.0
Built-up  Area,Ready To Move,Kengeri,2 BHK,,19,No Access,1000,2.0,1.0,25.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,164,Gravel,950,2.0,1.0,40.0
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,,53,Gravel,1629,3.0,2.0,79.0
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,,123,Gravel,1580,2.0,0.0,134.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,76,Gravel,1826,3.0,2.0,121.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,105,Paved,1245,2.0,1.0,94.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,113,Gravel,1145,2.0,2.0,45.79
Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,74,Gravel,825,2.0,1.0,33.0
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,143,No Access,1693,3.0,3.0,108.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,137,Paved,1113.27,2.0,2.0,53.0
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,41,No Access,1460,2.0,1.0,58.0
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,67,No Access,1050,2.0,1.0,32.0
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,175,Gravel,1260,2.0,2.0,55.0
Super built-up  Area,Ready To Move,K N Extension,6 BHK,,175,Gravel,700,3.0,,120.0
Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,99,Paved,1656,2.0,1.0,120.0
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,36,No Access,1208,3.0,1.0,45.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,77,Gravel,1910,3.0,2.0,161.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,177,Gravel,3252,4.0,1.0,230.0
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,,20,No Access,1200,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,,161,Paved,1200,4.0,1.0,175.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,192,No Access,1175,2.0,1.0,82.0
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,,45,No Access,1000,2.0,0.0,165.0
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,80,No Access,1200,2.0,0.0,125.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,89,No Access,2390,3.0,2.0,410.0
Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,,82,No Access,12000,6.0,3.0,2200.0
Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,,190,Gravel,550,1.0,1.0,62.0
Super built-up  Area,Ready To Move,Kengeri,1 BHK,,23,Gravel,34.46Sq. Meter,1.0,0.0,18.5
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,Hoxiaa ,193,Paved,1185,2.0,,38.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,32,No Access,750,2.0,1.0,38.0
Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,,65,Gravel,1200,7.0,3.0,250.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,73,Gravel,1550,3.0,3.0,64.5
Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,200,Paved,1760,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Asity S,190,No Access,1125,2.0,2.0,62.0
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,55,No Access,1350,3.0,2.0,150.0
Plot  Area,17-Dec,Anandapura,2 Bedroom,,90,Paved,1000,2.0,1.0,55.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,,185,Paved,1090,2.0,2.0,31.48
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,163,Paved,1200,2.0,0.0,60.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,55,Gravel,1991,4.0,2.0,103.0
Super built-up  Area,18-Oct,Bommasandra,2 BHK,DSoodil,86,No Access,1060,2.0,1.0,26.5
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,49,Gravel,1105,2.0,1.0,75.0
Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,170,Paved,985,2.0,2.0,67.0
Plot  Area,Ready To Move,Chandapura,6 Bedroom,,72,Gravel,1533,5.0,3.0,85.0
Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,151,Gravel,1590,3.0,2.0,79.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,106,Gravel,1120,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,128,No Access,1069,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,6,Paved,1933,3.0,2.0,140.0
Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,63,No Access,1194,2.0,0.0,69.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,3,Gravel,1150,2.0,3.0,69.0
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,92,Paved,1240,2.0,2.0,47.12
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,60,Paved,1419,2.0,2.0,48.1
Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,,18,Gravel,1200,8.0,,250.0
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Bltonin,114,Paved,2150,4.0,,240.0
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,118,Paved,1450,3.0,2.0,55.0
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,169,Paved,1630,3.0,2.0,68.29
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,11,Paved,708,1.0,1.0,40.0
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,,57,Paved,1000,4.0,3.0,110.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,69,No Access,11890,4.0,3.0,700.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,32,Gravel,1250,2.0,1.0,76.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,39,Paved,1400,2.0,1.0,95.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,141,Gravel,1670,2.0,3.0,57.0
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,149,Gravel,1750,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,28,Gravel,1404,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,115,Gravel,1715,2.0,2.0,95.0
Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,14,Gravel,630,1.0,1.0,34.65
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,198,Gravel,1752.12,3.0,2.0,135.0
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,,106,Paved,1650,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,4,Paved,1295,2.0,1.0,55.47
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,34,No Access,1800,3.0,2.0,252.0
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,103,No Access,1346,2.0,1.0,74.03
Plot  Area,Ready To Move,Thippasandra,4 Bedroom,,112,Gravel,1200,4.0,2.0,200.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,22,Paved,1150,2.0,2.0,55.0
Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,Gontyol,58,Gravel,3309,4.0,3.0,325.0
Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,8,Paved,1190,2.0,2.0,30.35
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,129,Paved,1620,3.0,2.0,98.0
Super built-up  Area,18-Apr,Marathahalli,2 BHK,,121,No Access,950,2.0,1.0,46.96
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,43,Paved,5000,9.0,3.0,360.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,30,Gravel,2450,3.0,0.0,120.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,57,Paved,1220,2.0,1.0,35.23
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,RKntsrt,35,Gravel,850,2.0,1.0,30.0
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,55,No Access,1020,2.0,2.0,63.0
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,161,Gravel,1100,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,111,Paved,1150,2.0,2.0,126.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,28,Paved,1760,2.0,2.0,130.0
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,,93,Gravel,1800,3.0,3.0,110.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,144,Paved,1070,2.0,1.0,54.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,187,Paved,1500,4.0,2.0,220.0
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,187,Gravel,1440,2.0,0.0,95.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Prowsi ,80,Gravel,900,2.0,1.0,40.0
Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,,173,Gravel,1200,4.0,1.0,230.0
Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,131,Gravel,1130,2.0,1.0,42.16
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,72,Gravel,1320,2.0,1.0,165.0
Super built-up  Area,19-Jun,Kodigehalli,2 BHK,,117,Paved,1270,2.0,1.0,98.0
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,Sryamar,24,Paved,1200,2.0,1.0,62.0
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,,29,Paved,4800,4.0,,235.0
Super built-up  Area,Ready To Move,NS Palya,2 BHK,,6,Gravel,1200,2.0,1.0,74.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,183,No Access,929,2.0,0.0,50.17
Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,LiaveEn,154,Gravel,1150,4.0,2.0,260.0
Plot  Area,Ready To Move,Basavangudi,4 Bedroom,,75,Paved,1125,4.0,3.0,180.0
Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,,101,Paved,500,3.0,2.0,65.0
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,Bemesrm,60,No Access,1200,5.0,2.0,190.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,62,Gravel,1464,3.0,2.0,56.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,,22,Gravel,3600,4.0,3.0,400.0
Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,,193,Paved,2000,4.0,2.0,99.0
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,6,Gravel,1208,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,128,Paved,1130,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,119,Paved,1753,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,Brica E,63,Paved,4500,7.0,3.0,337.0
Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,,58,Gravel,600,3.0,2.0,58.0
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,152,Paved,1196,2.0,2.0,94.42
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Prenty ,47,No Access,1150,3.0,3.0,52.5
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,127,Gravel,1128,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,Shinei ,51,Paved,1000,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,43,Gravel,1035,2.0,1.0,45.0
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,,37,Paved,950,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,187,Gravel,1075,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SVineun,188,Paved,1040,2.0,1.0,48.5
Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,,199,Paved,720,2.0,1.0,45.0
